MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,99.0,11851,Reg,Corner,Gilbert,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,1424,1424,Ex,Y,SBrkr,1442,0,1442,0,0,2,0,3,1,TA,5,0,Attchd,1990.0,RFn,500,TA,TA,Y,0,34,5,2009,WD,Normal,180500
20,RL,40.0,13673,IR1,CulDSac,Sawyer,RRAe,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,1140,1140,TA,Y,SBrkr,1696,0,1696,0,0,1,1,3,1,TA,8,1,Attchd,1962.0,RFn,349,TA,TA,Y,0,30,3,2007,WD,Normal,143900
20,RL,,12493,IR1,Inside,NAmes,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,419,375,1100,TA,Y,SBrkr,1100,0,1100,1,0,1,0,3,1,TA,6,1,Attchd,1960.0,RFn,312,TA,TA,Y,355,0,4,2008,WD,Normal,141000
60,RL,,14364,IR1,Inside,SawyerW,Norm,1Fam,2Story,7,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1065,92,1157,Ex,Y,SBrkr,1180,882,2062,1,0,2,1,3,1,TA,7,1,Attchd,1988.0,Fin,454,TA,TA,Y,60,55,4,2007,WD,Normal,277000
20,RL,75.0,8250,Reg,Inside,NAmes,Norm,1Fam,1Story,6,7,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,TA,TA,CBlock,Gd,TA,No,Rec,787,305,1092,Ex,Y,SBrkr,1092,0,1092,1,0,1,0,3,1,TA,6,0,Attchd,1964.0,RFn,504,TA,Gd,Y,0,0,7,2008,WD,Normal,145000
30,RL,67.0,5604,Reg,Inside,Edwards,Norm,1Fam,1Story,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468,396,864,TA,N,FuseA,864,0,864,1,0,1,0,2,1,TA,5,0,,,,0,,,Y,0,0,4,2008,WD,Normal,98000
20,RL,83.0,10420,Reg,Corner,Edwards,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,36,1176,1212,Ex,Y,SBrkr,1212,0,1212,0,0,2,0,3,1,Gd,6,0,Attchd,2009.0,RFn,460,TA,TA,Y,100,22,3,2010,WD,Normal,186000
60,FV,72.0,8640,Reg,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,822,78,900,Ex,Y,SBrkr,932,920,1852,1,0,2,1,3,1,Gd,7,1,Attchd,2009.0,RFn,644,TA,TA,Y,168,108,7,2009,New,Partial,252678
20,RL,43.0,13568,IR2,CulDSac,CollgCr,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716,274,990,Ex,Y,SBrkr,990,0,990,0,1,1,0,3,1,TA,5,0,Attchd,1996.0,Unf,576,TA,TA,Y,224,0,7,2006,WD,Normal,156000
60,RL,,10900,IR1,FR2,CollgCr,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,378,311,689,Ex,Y,SBrkr,689,703,1392,0,0,1,1,3,1,TA,6,0,Attchd,1977.0,Fin,299,TA,TA,Y,0,36,3,2010,WD,Normal,161750
20,RL,72.0,10011,IR1,Inside,NAmes,Norm,1Fam,1Story,5,6,1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,TA,TA,CBlock,TA,TA,No,BLQ,360,710,1070,TA,Y,SBrkr,1236,0,1236,0,1,1,0,2,1,Gd,6,1,Attchd,1957.0,Unf,447,TA,TA,Y,0,0,5,2006,WD,Normal,134450
20,RL,65.0,8450,Reg,Inside,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,946,490,1436,Ex,Y,SBrkr,1436,0,1436,1,0,2,0,3,1,Gd,8,0,Attchd,2004.0,Unf,484,TA,TA,Y,139,98,4,2008,WD,Normal,210000
70,RM,57.0,9906,Reg,Inside,OldTown,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,686,686,Fa,N,SBrkr,810,518,1328,0,0,1,0,3,1,TA,8,0,Detchd,1940.0,Unf,210,TA,TA,Y,0,172,9,2006,WD,Family,107000
50,RL,,15660,IR1,Corner,Crawfor,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,Gd,Gd,CBlock,TA,TA,No,BLQ,341,457,798,Ex,Y,SBrkr,1137,817,1954,0,1,1,1,3,1,Gd,8,2,Attchd,1939.0,Unf,431,TA,TA,Y,0,119,5,2008,WD,Normal,311500
120,RL,43.0,3010,Reg,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,1232,1248,Ex,Y,SBrkr,1248,0,1248,0,0,2,0,2,1,Gd,5,0,Attchd,2005.0,Fin,438,TA,TA,Y,108,0,3,2006,New,Partial,167240
20,RL,73.0,8990,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,1498,1498,Ex,Y,SBrkr,1498,0,1498,0,0,2,0,2,1,Gd,5,0,Attchd,2006.0,RFn,675,TA,TA,Y,351,33,4,2006,New,Partial,204900
60,RL,,8068,IR1,Inside,Gilbert,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,1010,1010,Ex,Y,SBrkr,1010,1257,2267,0,0,2,1,4,1,Gd,8,1,BuiltIn,2002.0,RFn,390,TA,TA,Y,120,46,12,2009,ConLI,Normal,200000
60,RL,85.0,11475,Reg,Inside,NWAmes,RRAn,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,550,163,713,TA,Y,SBrkr,811,741,1552,1,0,2,1,3,1,TA,6,1,Attchd,1975.0,RFn,434,TA,TA,Y,209,208,2,2006,WD,Normal,179900
20,RL,70.0,10500,Reg,FR2,NAmes,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,524,160,864,Gd,Y,SBrkr,864,0,864,0,0,1,0,2,1,TA,4,0,Detchd,1989.0,Unf,576,TA,TA,Y,216,0,3,2009,WD,Abnorml,97000
20,RL,103.0,13472,Reg,Inside,NridgHt,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,56,2336,2392,Ex,Y,SBrkr,2392,0,2392,0,0,2,0,3,1,Ex,8,1,Attchd,2003.0,Fin,968,TA,TA,Y,248,105,6,2009,WD,Normal,386250
160,RM,21.0,1680,Reg,Inside,BrDale,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,TA,TA,CBlock,TA,TA,No,Unf,0,630,630,TA,Y,SBrkr,630,672,1302,0,0,2,1,3,1,TA,6,0,Detchd,1991.0,Unf,280,TA,TA,Y,0,0,5,2009,COD,Abnorml,112000
60,RL,82.0,9950,IR1,Inside,NoRidge,Norm,1Fam,2Story,7,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,Gd,TA,PConc,Gd,TA,No,GLQ,565,638,1203,Ex,Y,SBrkr,1214,1306,2520,0,0,2,1,4,1,Gd,9,1,Attchd,1995.0,RFn,721,TA,TA,Y,224,114,6,2007,WD,Abnorml,290000
160,RM,21.0,1869,Reg,Inside,BrDale,Norm,Twnhs,2Story,6,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,TA,TA,CBlock,TA,TA,No,Rec,321,162,483,TA,Y,SBrkr,483,504,987,0,0,1,1,2,1,TA,5,0,Detchd,1987.0,Unf,280,TA,TA,Y,0,0,9,2008,WD,Normal,106000
20,RL,70.0,8521,Reg,FR2,Sawyer,Feedr,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,842,70,912,TA,Y,SBrkr,912,0,912,0,0,1,0,3,1,TA,5,1,Detchd,1974.0,Unf,336,TA,TA,Y,0,0,5,2010,WD,Normal,125000
120,RL,43.0,3182,Reg,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,1357,1373,Ex,Y,SBrkr,1555,0,1555,0,0,2,0,2,1,Gd,7,1,Attchd,2005.0,Fin,430,TA,TA,Y,143,20,5,2009,WD,Normal,192500
20,RL,73.0,8760,Reg,Inside,NAmes,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,TA,TA,CBlock,TA,TA,No,Unf,0,1194,1194,TA,Y,SBrkr,1194,0,1194,1,0,1,0,3,1,TA,6,0,Attchd,1959.0,RFn,312,TA,TA,Y,0,0,4,2010,WD,Normal,148000
60,RL,174.0,15138,IR1,Inside,NoRidge,Norm,1Fam,2Story,8,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,Gd,TA,PConc,Gd,TA,No,GLQ,689,773,1462,Ex,Y,SBrkr,1490,1304,2794,1,0,2,1,4,1,Ex,9,1,Attchd,1995.0,Fin,810,TA,TA,Y,0,146,7,2009,WD,Normal,403000
160,RM,21.0,1680,Reg,Inside,BrDale,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,TA,TA,CBlock,TA,TA,No,Unf,0,483,483,TA,Y,SBrkr,483,504,987,0,0,1,1,2,1,TA,5,1,Attchd,1972.0,Unf,288,TA,TA,Y,0,0,6,2006,WD,Normal,94500
20,RL,75.0,10650,Reg,Corner,CollgCr,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,182,0,894,TA,Y,SBrkr,894,0,894,1,0,1,0,3,1,TA,5,0,Attchd,1976.0,Unf,308,TA,TA,Y,365,0,2,2010,WD,Normal,128200
60,RL,,7851,Reg,Inside,Gilbert,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Gd,TA,No,GLQ,625,235,860,Ex,Y,SBrkr,860,1100,1960,1,0,2,1,4,1,Gd,8,2,BuiltIn,2002.0,Fin,440,TA,TA,Y,288,48,5,2010,WD,Normal,216500
160,RM,21.0,1680,Reg,Inside,BrDale,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,TA,TA,CBlock,TA,TA,No,ALQ,358,125,483,TA,Y,SBrkr,483,504,987,0,0,1,1,2,1,TA,5,0,Detchd,1971.0,Unf,264,TA,TA,Y,0,0,8,2008,WD,Normal,89500
20,RL,65.0,8773,Reg,FR2,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,1390,1414,Ex,Y,SBrkr,1414,0,1414,0,0,2,0,3,1,Gd,6,0,Attchd,2004.0,RFn,494,TA,TA,Y,132,105,5,2010,WD,Normal,185500
60,RL,,9453,IR1,CulDSac,SawyerW,RRNe,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,BLQ,402,594,996,Ex,Y,SBrkr,1014,730,1744,0,0,2,1,3,1,Gd,7,0,Attchd,1993.0,RFn,457,TA,TA,Y,370,70,2,2010,WD,Normal,194500
20,RL,93.0,12030,Reg,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,Ex,TA,PConc,Ex,TA,No,Unf,0,1694,1694,Ex,Y,SBrkr,1694,0,1694,0,0,2,0,3,1,Gd,7,0,Attchd,2007.0,Fin,818,TA,TA,Y,168,228,12,2007,New,Partial,318000
50,RL,52.0,8741,Reg,Inside,Edwards,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,No,LwQ,94,641,735,TA,Y,FuseA,798,689,1487,0,0,1,1,3,1,TA,7,1,Detchd,1949.0,Unf,220,TA,TA,Y,0,140,4,2010,WD,Normal,113000
20,FV,75.0,9000,Reg,Inside,Somerst,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1078,488,1566,Ex,Y,SBrkr,1566,0,1566,1,0,2,0,3,1,Gd,7,0,Attchd,2008.0,RFn,750,TA,TA,Y,144,168,4,2010,WD,Normal,262500
30,RM,40.0,3880,Reg,Inside,OldTown,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,329,357,686,Gd,Y,SBrkr,866,0,866,0,0,1,0,2,1,Gd,4,0,,,,0,,,Y,58,42,8,2007,WD,Normal,110500
50,RM,63.0,5000,Reg,Corner,OldTown,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,540,540,Gd,N,FuseA,889,551,1440,0,0,1,0,3,1,TA,6,0,Attchd,1940.0,Unf,352,Fa,TA,Y,0,0,4,2006,WD,Normal,79000
160,RL,75.0,10762,Reg,Corner,SawyerW,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0,626,626,TA,Y,SBrkr,626,591,1217,0,0,1,1,3,1,TA,6,1,Attchd,1980.0,RFn,288,TA,TA,Y,0,28,4,2009,WD,Normal,120000
60,RL,,8880,IR1,Inside,SawyerW,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,695,253,948,Ex,Y,SBrkr,1222,888,2110,1,0,2,1,3,1,Gd,8,2,Attchd,1994.0,RFn,463,TA,TA,Y,0,130,5,2010,WD,Normal,205000
20,RL,80.0,10400,Reg,Inside,NWAmes,Norm,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,TA,TA,CBlock,Gd,TA,Av,GLQ,929,916,1845,Gd,Y,SBrkr,1872,0,1872,0,1,2,0,3,1,TA,6,1,Attchd,1988.0,Fin,604,TA,TA,Y,197,39,6,2006,WD,Normal,241500
190,RM,69.0,9142,Reg,Inside,OldTown,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,Fa,Stone,Fa,TA,No,Unf,0,1020,1020,Gd,N,FuseP,908,1020,1928,0,0,2,0,4,2,Fa,9,0,Detchd,1910.0,Unf,440,Po,Po,Y,0,60,4,2006,WD,Normal,137000
20,RL,75.0,11310,Reg,Inside,NAmes,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,1367,1367,Ex,Y,SBrkr,1375,0,1375,0,0,1,0,2,1,TA,5,1,Attchd,1954.0,Unf,451,TA,TA,Y,0,30,6,2006,WD,Normal,140000
60,RL,72.0,11317,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,Gd,TA,PConc,Gd,TA,No,Unf,0,840,840,Ex,Y,SBrkr,840,828,1668,0,0,2,1,3,1,Gd,8,0,Attchd,2003.0,RFn,500,TA,TA,Y,144,68,9,2007,WD,Normal,180000
50,RL,,159000,IR2,CulDSac,ClearCr,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,Gd,TA,CBlock,Gd,TA,Gd,Rec,697,747,1444,Gd,Y,SBrkr,1444,700,2144,0,1,2,0,4,1,Gd,7,2,Attchd,1958.0,Fin,389,TA,TA,Y,0,98,6,2007,WD,Normal,277000
30,RL,55.0,5350,IR1,Inside,BrkSide,Norm,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,Po,CBlock,TA,TA,No,Unf,0,728,728,Ex,Y,SBrkr,1306,0,1306,0,0,1,0,3,1,Fa,6,0,,,,0,,,Y,263,0,5,2010,WD,Normal,76500
120,RM,44.0,4750,IR1,Inside,Crawfor,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573,0,1573,Ex,Y,SBrkr,1625,0,1625,1,1,2,0,2,1,Gd,5,1,Attchd,2006.0,Fin,538,TA,TA,Y,123,0,12,2007,WD,Family,235000
60,RL,65.0,8366,IR1,Inside,SawyerW,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,798,798,Ex,Y,SBrkr,798,842,1640,0,0,2,1,3,1,Gd,6,0,Attchd,2004.0,RFn,520,TA,TA,Y,138,45,12,2008,WD,Normal,173000
80,RL,85.0,9350,Reg,Inside,NAmes,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,TA,TA,CBlock,Gd,TA,Gd,LwQ,270,452,1302,Ex,Y,SBrkr,1302,0,1302,0,1,2,0,3,1,Gd,7,0,Attchd,1964.0,RFn,309,TA,TA,Y,333,0,10,2007,CWD,Normal,158000
20,RL,70.0,8400,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,922,392,1314,TA,Y,SBrkr,1314,0,1314,1,0,1,0,3,1,TA,5,0,Attchd,1957.0,RFn,294,TA,TA,Y,250,0,6,2010,WD,Normal,145000
60,RL,66.0,8738,IR1,Inside,Gilbert,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,Gd,TA,PConc,Gd,TA,No,Unf,0,975,975,Ex,Y,SBrkr,1005,1286,2291,0,0,2,1,4,1,Gd,8,1,BuiltIn,1999.0,Fin,429,TA,TA,Y,192,0,2,2006,WD,Normal,230000
60,FV,64.0,8791,IR1,Inside,Somerst,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Rec,503,361,864,Ex,Y,SBrkr,864,864,1728,0,0,2,1,3,1,Gd,7,0,Attchd,2003.0,RFn,673,TA,TA,Y,216,56,5,2008,WD,Normal,207500
20,RL,68.0,8814,Reg,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1334,270,1604,Ex,Y,SBrkr,1604,0,1604,1,0,2,1,3,1,Gd,8,1,Attchd,2006.0,RFn,660,TA,TA,Y,123,110,3,2009,WD,Abnorml,220000
60,RL,80.0,12435,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,Gd,TA,PConc,Gd,TA,No,GLQ,361,602,963,Ex,Y,SBrkr,963,829,1792,0,0,2,1,3,1,Gd,7,1,Attchd,2001.0,RFn,564,TA,TA,Y,0,96,5,2008,WD,Normal,231500
20,RM,70.0,12702,Reg,Inside,OldTown,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,PConc,,,,,0,0,0,Gd,Y,FuseA,882,0,882,0,0,1,0,2,1,TA,4,0,Detchd,1956.0,Unf,308,TA,TA,Y,0,45,12,2008,WD,Normal,97000
80,RL,120.0,19296,Reg,Corner,NAmes,Artery,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,TA,CBlock,TA,TA,Gd,Rec,672,0,1362,TA,Y,SBrkr,1382,0,1382,1,0,1,0,3,1,TA,6,1,Attchd,1991.0,Unf,884,TA,TA,Y,0,0,5,2009,WD,Normal,176000
60,RL,69.0,9588,IR1,Inside,CollgCr,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,Gd,TA,PConc,Ex,TA,No,Unf,0,1482,1482,Ex,Y,SBrkr,1482,1092,2574,0,0,2,1,3,1,Ex,10,1,BuiltIn,2007.0,Fin,868,TA,TA,Y,0,148,11,2007,New,Partial,276000
80,RL,88.0,8471,IR1,Corner,Sawyer,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,TA,TA,CBlock,Gd,Gd,Av,ALQ,506,0,506,TA,Y,SBrkr,1212,0,1212,1,0,1,0,3,1,TA,6,1,Attchd,1978.0,Unf,492,TA,TA,Y,292,12,7,2006,WD,Normal,151000
50,RM,50.0,5500,Reg,Corner,OldTown,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,234,0,926,TA,Y,SBrkr,926,0,1316,1,0,1,0,3,1,TA,6,0,Detchd,1974.0,Unf,484,TA,TA,Y,0,0,4,2010,WD,Normal,130000
30,RM,30.0,5232,IR3,Inside,OldTown,Artery,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,680,680,Gd,N,FuseP,764,0,764,0,0,1,0,2,1,TA,4,0,Detchd,1965.0,Unf,504,TA,TA,N,0,0,6,2008,WD,Normal,73000
20,RL,78.0,12090,IR1,Inside,NWAmes,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,588,606,1422,TA,Y,SBrkr,1422,0,1422,0,0,2,0,3,1,Gd,7,1,Attchd,1981.0,Fin,576,TA,TA,Y,276,0,6,2008,WD,Normal,175500
60,RL,70.0,11207,IR1,FR2,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714,88,802,Gd,Y,SBrkr,802,709,1511,1,0,2,1,3,1,TA,8,1,Attchd,1997.0,Fin,413,TA,TA,Y,95,75,6,2006,WD,Normal,185000
75,RL,60.0,8400,Reg,Inside,SWISU,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,378,342,720,Ex,Y,SBrkr,1052,720,2192,0,0,2,1,4,1,Gd,8,1,Detchd,1939.0,Unf,240,TA,TA,Y,262,24,7,2008,WD,Normal,179500
30,RM,71.0,6900,Reg,Inside,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,403,212,740,Ex,Y,SBrkr,778,0,778,0,0,1,0,2,1,TA,4,1,Detchd,1966.0,Fin,924,Ex,Ex,Y,0,25,2,2008,WD,Normal,120500
20,RL,,7917,IR1,Corner,Edwards,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751,392,1143,TA,Y,SBrkr,1113,0,1113,1,0,1,1,3,1,TA,6,1,Attchd,1987.0,RFn,504,TA,Gd,Y,370,30,5,2007,WD,Normal,148000
60,FV,84.0,10728,Reg,Inside,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,1095,1095,Gd,Y,SBrkr,1095,844,1939,0,0,2,1,3,1,Gd,8,1,Attchd,2006.0,RFn,1053,TA,TA,Y,192,51,8,2006,New,Partial,266000
20,RL,73.0,39104,IR1,CulDSac,ClearCr,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,96,1385,Ex,Y,SBrkr,1363,0,1363,1,0,1,0,2,1,TA,5,2,Attchd,1954.0,Unf,439,TA,TA,Y,81,0,4,2008,WD,Normal,241500
60,RL,92.0,11764,IR1,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524,628,1152,Ex,Y,SBrkr,1164,1106,2270,0,0,2,1,4,1,Gd,9,1,Attchd,1999.0,Fin,671,TA,TA,Y,132,57,4,2010,WD,Normal,290000
20,RL,80.0,9600,Reg,Inside,NAmes,Feedr,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,620,0,1240,Gd,Y,SBrkr,1632,0,1632,1,0,2,0,3,1,TA,6,1,Attchd,1958.0,RFn,338,TA,TA,Y,289,0,4,2009,WD,Normal,139000
20,RL,76.0,8314,Reg,Corner,Mitchel,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,270,816,TA,Y,SBrkr,816,0,816,0,0,1,0,2,1,TA,5,0,Attchd,1982.0,Unf,264,TA,TA,Y,168,0,6,2007,WD,Normal,124500
